airports,start,end,kind
LZIB,22-01-26 18:00,22-01-26 20:00,0
8,22-01-26 18:00,22-01-26 21:00,1
LBBG,22-01-26 18:00,22-01-26 21:00,1
3,22-01-26 18:30,22-01-26 21:30,1
1,22-01-26 18:30,22-01-26 21:30,1
9,22-01-26 20:00,22-01-26 22:00,1
1,22-01-28 17:00,22-01-28 21:00,1
5,22-01-28 18:00,22-01-28 21:00,1
EDDF/EDDB,22-01-28 19:00,22-01-28 22:00,1
EDDF,22-01-28 19:00,22-01-28 22:00,1
LSGG,22-01-28 19:00,22-01-28 21:00,1
EKCH/LSZH,22-01-29 16:00,22-01-29 20:00,1
LOWW/UUDD,22-01-29 17:00,22-01-29 21:00,1
EHAM,22-01-29 18:30,22-01-29 21:00,1
LDZA/LYBE,22-01-30 16:00,22-01-30 19:00,1
LBSF,22-01-30 18:00,22-01-30 20:00,0
LBSF,22-01-30 18:00,22-01-30 21:00,1
EDDS,22-01-30 19:00,22-01-30 21:00,1
5,22-01-31 18:00,22-01-31 21:00,1
6,22-01-31 18:30,22-01-31 21:30,1
LHBP/EDDN,22-01-31 18:30,22-01-31 21:30,1
EDDB,22-02-01 18:30,22-02-01 21:30,1
4,22-02-01 18:30,22-02-01 21:00,1
7,22-02-01 19:00,22-02-01 21:00,1
8,22-02-02 18:00,22-02-02 21:00,1
EDDK,22-02-02 18:00,22-02-02 21:00,1
3,22-02-02 18:30,22-02-02 21:30,1
9,22-02-02 18:30,22-02-02 21:30,1
LPPT,22-02-03 18:00,22-02-03 20:00,1
5,22-02-04 18:00,22-02-04 21:00,1
EBBR/EBAW/EBCI,22-02-04 18:00,22-02-04 20:00,0
2,22-02-05 17:00,22-02-05 19:00,0
EDDR/EDDW,22-02-05 18:00,22-02-05 22:00,1
5,22-02-07 18:00,22-02-07 21:00,1
6,22-02-07 18:30,22-02-07 21:30,1
EDDB,22-02-08 18:30,22-02-08 21:30,1
7,22-02-08 19:00,22-02-08 21:00,1
8,22-02-09 18:00,22-02-09 21:00,1
3,22-02-09 18:30,22-02-09 21:30,1
1,22-02-09 18:30,22-02-09 21:30,1
LOWW,22-02-09 19:00,22-02-09 21:00,0
5,22-02-11 18:00,22-02-11 21:00,1
EHAM/LGAV,22-02-13 15:00,22-02-13 21:00,1
5,22-02-14 18:00,22-02-14 21:00,1
6,22-02-14 18:30,22-02-14 21:30,1
4,22-02-15 18:30,22-02-15 21:00,1
7,22-02-15 19:00,22-02-15 21:00,1
8,22-02-16 18:00,22-02-16 21:00,1
3,22-02-16 18:30,22-02-16 21:30,1
2,22-02-16 18:30,22-02-16 21:30,1
5,22-02-18 18:00,22-02-18 21:00,1
6,22-02-21 18:30,22-02-21 21:30,1
7,22-02-22 19:00,22-02-22 21:00,1
8,22-02-23 18:00,22-02-23 21:00,1
3,22-02-23 18:30,22-02-23 21:30,1
3,22-02-23 18:30,22-02-23 21:30,1
LOWW,22-02-23 19:00,22-02-23 21:00,0
LSGG,22-02-25 19:00,22-02-25 21:00,1
5,22-02-28 18:00,22-02-28 21:00,1
6,22-02-28 18:30,22-02-28 21:30,1
4,22-03-01 18:30,22-03-01 21:00,1
8,22-03-02 18:00,22-03-02 21:00,1
EDDK,22-03-02 18:00,22-03-02 21:00,1
3,22-03-02 18:30,22-03-02 21:30,1
2,22-03-02 18:30,22-03-02 21:30,1
5,22-03-07 18:00,22-03-07 21:00,1
6,22-03-07 18:30,22-03-07 21:30,1
8,22-03-09 18:00,22-03-09 21:00,1
3,22-03-09 18:30,22-03-09 21:30,1
2,22-03-09 18:30,22-03-09 21:30,1
5,22-03-14 18:00,22-03-14 21:00,1
6,22-03-14 18:30,22-03-14 21:30,1
4,22-03-15 18:30,22-03-15 21:00,1
3,22-03-16 18:30,22-03-16 21:30,1
9,22-03-16 18:30,22-03-16 21:30,1
5,22-03-21 18:00,22-03-21 21:00,1
6,22-03-21 18:30,22-03-21 21:30,1
3,22-03-23 18:30,22-03-23 21:30,1
